main_image,catalog_number,specifications,chain_technical_data,sprocket_diameters,locking_bolts,id
,PL070X079EF,d - Shaft O.D.:2.756 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:3.110 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.220 in|L2:1.496 in|L3:0.591 in|L4:0.138 in|Lt:2.402 in|D1:3.386 in|D2:3.819 in|D3:4.409 in|Transmissible Torque:2286 ft·lb|Transmissible Thrust:19895 lb|P - Contact Pressure - Shaft:25672 psi|P' - Contact Pressure - Hub Bore:22916 psi|Weight:2.600 lb,,,Quantity:8 |Size:M8x40 |Tightening Torque:25.500 ft·lb,822896
,PL015X019EF,d - Shaft O.D.:0.591 in|t1 - Shaft Dia. Tolerance:-0.0011 in +0 |D - Hub Counter I.D.:0.748 in|t2 - Hub Counter ID Tolerance:+0.0013 in -0 |l:0.630 in|L2:0.787 in|L3:0.236 in|L4:0.079 in|Lt:1.181 in|D1:0.906 in|D2:1.102 in|D3:1.417 in|Transmissible Torque:58 ft·lb|Transmissible Thrust:2338 lb|P - Contact Pressure - Shaft:28283 psi|P' - Contact Pressure - Hub Bore:22336 psi|Weight:0.150 lb,,,Quantity:4 |Size:M4x18 |Tightening Torque:3.000 ft·lb,822884
,PL022X047AD,d - Shaft O.D.:0.866 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.850 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:1.181 in|L:1.378 in|Lt:1.614 in|Transmissible Torque:325 ft·lb|Transmissible Thrust:9127 lb|P - Contact Pressure - Shaft:29588 psi|P' - Contact Pressure - Hub Bore:13924 psi|Weight:0.700 lb,,,Quantity:6 |Size:M6x28 |Tightening Torque:12.500 ft·lb,822916
,PL030X055AD,d - Shaft O.D.:1.181 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:2.165 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:1.378 in|L:1.575 in|Lt:1.811 in|Transmissible Torque:578 ft·lb|Transmissible Thrust:12184 lb|P - Contact Pressure - Shaft:24802 psi|P' - Contact Pressure - Hub Bore:13489 psi|Weight:1.000 lb,,,Quantity:8 |Size:M6x30 |Tightening Torque:12.500 ft·lb,822920
,PL085X125AE,d - Shaft O.D.:3.346 in|t1 - Shaft Dia. Tolerance:-0.0021 in +0 |D - Hub Counter I.D.:4.921 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:1.102 in|L:1.614 in|Lt:2.008 in|T1:0.177 in|T2:0.157 in|D1:5.315 in|Transmissible Torque:5133 ft·lb|Transmissible Thrust:36960 lb|P - Contact Pressure - Shaft:35390 psi|P' - Contact Pressure - Hub Bore:20161 psi|Weight:4.400 lb,,,Quantity:12 |Size:M10x25 |Tightening Torque:60.000 ft·lb,822908
,PL028X032EF,d - Shaft O.D.:1.102 in|t1 - Shaft Dia. Tolerance:-0.0015 in +0 |D - Hub Counter I.D.:1.260 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.630 in|L2:0.807 in|L3:0.315 in|L4:0.079 in|Lt:1.319 in|D1:1.417 in|D2:1.732 in|D3:2.126 in|Transmissible Torque:260 ft·lb|Transmissible Thrust:5755 lb|P - Contact Pressure - Shaft:37275 psi|P' - Contact Pressure - Hub Bore:32489 psi|Weight:0.350 lb,,,Quantity:6 |Size:M5x25 |Tightening Torque:6 ft·lb,822904
,PL1AE,d - Shaft O.D.:1.000 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.968 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |l:0.748 in|L2:0.780 in|L:0.996 in|Lt:1.094 in|T1:0.098 in|T2:0.118 in|D1:2.244 in|Transmissible Torque:303 ft·lb|Transmissible Thrust:7326 lb|P - Contact Pressure - Shaft:37525 psi|P' - Contact Pressure - Hub Bore:14783 psi|Weight:0.600 lb,,,Quantity:7 |Size:M6x18 |Tightening Torque:12.500 ft·lb,824080
,PL3AE,d - Shaft O.D.:2.938 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.724 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |l:1.102 in|L2:1.103 in|L:1.437 in|Lt:1.614 in|T1:0.177 in|T2:0.157 in|D1:5.118 in|Transmissible Torque:4611 ft·lb|Transmissible Thrust:36740 lb|P - Contact Pressure - Shaft:39230 psi|P' - Contact Pressure - Hub Bore:20895 psi|Weight:4.100 lb,,,Quantity:12 |Size:M10x25 |Tightening Torque:60.000 ft·lb,824104
,PL012X015EF,d - Shaft O.D.:0.472 in|t1 - Shaft Dia. Tolerance:-0.0011 in +0 |D - Hub Counter I.D.:0.591 in|t2 - Hub Counter ID Tolerance:+0.0011 in -0 |l:0.453 in|L2:0.571 in|L3:0.197 in|L4:0.059 in|Lt:0.925 in|D1:0.709 in|D2:0.945 in|D3:1.260 in|Transmissible Torque:35 ft·lb|Transmissible Thrust:1751 lb|P - Contact Pressure - Shaft:35245 psi|P' - Contact Pressure - Hub Bore:28283 psi|Weight:0.090 lb,,,Quantity:3 |Size:M4x16 |Tightening Torque:3.000 ft·lb,824116
,PL028X055FL,d - Shaft O.D.:1.102 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:2.165 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |l:0.748 in|L:1.126 in|Lt:1.362 in|Transmissible Torque:445 ft·lb|Transmissible Thrust:9689 lb|P - Contact Pressure - Shaft:41046 psi|P' - Contact Pressure - Hub Bore:17550 psi|Weight:0.700 lb,,,Quantity:6 |Size:M6x18 |Tightening Torque:12.500 ft·lb,824160
